played_at,track_name,duration_ms,track_id,artist_name,artist_id,artist_genres,artist_img,album_name,album_id,album_release_year,album_label,album_img
2025-12-15T20:15:01.619Z,Entrando cruzado (feat. Robe),242266,6y7hti9MInjsnoUElfkP1K,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,,https://i.scdn.co/image/de8b73b7b71c3e5a4518d9a36b0b37b04ec5042a,Correos,2CT7oREbwTDOSWIMjRCCaY,2000,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e02bf76f682f914fd6be05d7856
2025-12-15T20:18:39.351Z,Juliette (feat. Robe) - Versión 2005,217279,3w18SAKcJJIlrIYDQ2WdNp,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,,https://i.scdn.co/image/de8b73b7b71c3e5a4518d9a36b0b37b04ec5042a,"Hay mucho Rock and Roll, Vol.2",280qsfdC5fp2a9W00GT8iO,2005,WM Spain,https://i.scdn.co/image/ab67616d00001e029cf6a013f32d5a905c91bed1
2025-12-15T20:22:50.362Z,El roce de tu cuerpo,250093,3EPd9riN2R8Zjl6GkrxxGl,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,,https://i.scdn.co/image/de8b73b7b71c3e5a4518d9a36b0b37b04ec5042a,Muy Deficiente,6nSNoI4zgtfMm1H9NXI4r1,1992,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e024fef36ad2018304b54c6485c
2025-12-15T20:28:53.172Z,Si miro a las nubes (feat. Robe),333906,0Y5vEVsxJLsXdBTTV6WW0O,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,,https://i.scdn.co/image/de8b73b7b71c3e5a4518d9a36b0b37b04ec5042a,7,0DzshtAR827cBKDjpg00EW,1997,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e0259e37c076094b02e7bce57d7
2025-12-16T14:46:07.217Z,"Ama, ama, ama y ensancha el alma",155200,06ED6YIqNb66Mh6HXjmEa6,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Deltoya,022zIyy4TicgTuuqLco8t8,1992,WM Spain,https://i.scdn.co/image/ab67616d00001e02b0fe164a8c9de1fecce0061b
2025-12-16T17:15:14.320Z,El roce de tu cuerpo,250400,6VEgyD7z6H44lpQu1BIPsS,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,,https://i.scdn.co/image/de8b73b7b71c3e5a4518d9a36b0b37b04ec5042a,Hay mucho Rock & Roll- Resumen,0JbOeNFwRRzFZva6WYwQnC,2005,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e02b0cf2555749eb74d6ad22cb7
2025-12-16T17:19:38.523Z,Mis Colegas (Videoclip),254336,4ZwGwObJnkMBFpTtEnnTm8,Ska-P,2fiiGUBgPsIKDCE0bTthnl,"ska, ska punk, mexican ska",https://i.scdn.co/image/ab67616100005174a8887cee6747290d175c547c,Mis Colegas (Videoclip),0Mq34kmODkaqVk9Zc7gfpB,2002,Sony BMG Music Entertainment,https://i.scdn.co/image/ab6742d3000053b727b5721a1f4af7e210260ba8
2025-12-16T17:36:10.709Z,Mila doinu aidien,275725,0B7x1MtFMegr6SbZaQL2oF,Gatibu,6YsyTWPxzGMpxBvnI7QvZ8,,https://i.scdn.co/image/ab67616100005174a5746ff35eec6f12acab6bf1,Zoramena,5CgP5HCBlvqYgTnXM5tVpq,2002,Oihuka,https://i.scdn.co/image/ab67616d00001e0278a8561bd2bc9d86f34c5e93
2025-12-16T17:40:54.992Z,Euritan Dantzan,283813,4Jcc9vLIwxFzEzxnHoYtr0,Gatibu,6YsyTWPxzGMpxBvnI7QvZ8,,https://i.scdn.co/image/ab67616100005174a5746ff35eec6f12acab6bf1,Euritan Dantzan,7AGPEu3fhHB7kyr2CryYws,2014,Panda Artist,https://i.scdn.co/image/ab67616d00001e023b7f4d53a3754f1dc50e3cdf
2025-12-16T17:44:01.159Z,Zeinen Ederra Izango Den,185714,0yS9XxRk7iiIiqDfifMCVg,ZETAK,4fYuFg89YvkN1bUwpXumdE,,https://i.scdn.co/image/ab676161000051742d1ff902f1eb308a72c04393,Zeinen Ederra Izango Den,5Urvb7bCKI5PWMjP1ZZAYu,2020,Panda Artist / Oso Polita,https://i.scdn.co/image/ab67616d00001e02d9a3719795be9fdc299e8e6e
